Timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
4,4,IMSI_9,26211,True,eMBB,68,1.0,QoS-PFS,3,,,10.022321428571429,,,3,,,,,,,-108.89024000315655,,,,129,,,,
4,1,IMSI_10,20626,True,mMTC,1,1.0,QoS-PFS,25,,,1.16202731092437,,,14,,,,,,,-92.81732320449582,,,,1,,,,
4,4,IMSI_11,14681,True,eMBB,25,1.0,QoS-PFS,9,,,10.11029411764706,,,6,,,,,,,-103.99901149806311,,,,129,,,,
4,4,IMSI_12,54752,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-100.7956055970283,,,,129,,,,
4,3,IMSI_13,56369,True,mMTC,1,1.0,QoS-PFS,27,,,1.2447478991596639,,,15,,,,,,,-84.75335607405863,,,,9,,,,
4,3,IMSI_14,14324,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-104.39279779407576,,,,41,,,,
4,1,IMSI_15,12412,True,URLLC,26,1.0,QoS-PFS,0,,,1.0241596638655461,,,1,,,,,,,-111.27474310354634,,,,26,,,,
4,3,IMSI_16,17090,True,URLLC,3,1.0,QoS-PFS,9,,,1.213235294117647,,,6,,,,,,,-110.19270996891174,,,,9,,,,
5,4,IMSI_0,43851,True,mMTC,0,1.0,QoS-PFS,-1,,,0.14738707983193275,,,0,,,,,,,-116.6021172318143,,,,6,,,,
5,3,IMSI_1,16810,True,URLLC,3,1.0,QoS-PFS,11,,,1.3767069327731092,,,7,,,,,,,-103.65587242349935,,,,51,,,,
5,3,IMSI_2,9638,True,eMBB,41,1.0,QoS-PFS,5,,,10.174632352941176,,,4,,,,,,,-110.74341028764653,,,,51,,,,
5,3,IMSI_3,4613,True,URLLC,5,1.0,QoS-PFS,5,,,1.240808823529412,,,4,,,,,,,-114.4184746850402,,,,9,,,,
5,3,IMSI_4,21792,True,URLLC,7,1.0,QoS-PFS,3,,,1.0317095588235294,,,3,,,,,,,-109.15860874727653,,,,51,,,,
5,5,IMSI_5,51100,True,eMBB,18,1.0,QoS-PFS,13,,,10.050551470588236,,,8,,,,,,,-101.35257793313696,,,,215,,,,
